mode,mu_real,mu_imag,mu_abs,eigenvalue_real,eigenvalue_imag,frequency_hz,damping_ratio
0,0.9999999999980489,0.0,0.9999999999980489,-1.170663566086892e-10,0.0,0.0,0.003701937876033773
1,0.9999999951602304,0.0,0.9999999951602304,-2.9038617580849564e-07,0.0,0.0,0.9941227218655471
2,0.9993696752948185,-0.0006255274124771838,0.9993698710604672,-0.037819653252764186,-0.03755531188816497,0.0059771135263592765,0.7095822538188166
3,0.9993696752948185,0.0006255274124771838,0.9993698710604672,-0.037819653252764186,0.03755531188816497,0.0059771135263592765,0.7095822538188166
4,0.48127075833582317,0.8750911175129279,0.9987021611968021,-0.07792090352246692,64.07873230487081,10.19844699338251,0.0012160172823172304
5,0.48127075833582317,-0.8750911175129279,0.9987021611968021,-0.07792090352246692,-64.07873230487081,10.19844699338251,0.0012160172823172304
6,0.9985865541470571,-0.000592963015601359,0.9985867301984497,-0.08485616455425453,-0.03562813519443168,0.005670393829340127,0.9220265328181374
7,0.9985865541470571,0.000592963015601359,0.9985867301984497,-0.08485616455425453,0.03562813519443168,0.005670393829340127,0.9220265328181374
8,0.9984874344307084,-0.0004968273035900773,0.9984875580363473,-0.09081521151218933,-0.02985479308735973,0.0047515378948390485,0.9499836254816968
9,0.9984874344307084,0.0004968273035900773,0.9984875580363473,-0.09081521151218933,0.02985479308735973,0.0047515378948390485,0.9499836254816968
10,0.4807222733893124,0.8747224154779762,0.99811482719786,-0.11321711860637552,64.09694194991754,10.201345148403645,0.0017663392128533556
11,0.4807222733893124,-0.8747224154779762,0.99811482719786,-0.11321711860637552,-64.09694194991754,10.201345148403645,0.0017663392128533556
