mode,mu_real,mu_imag,mu_abs,lambda_real,lambda_imag,frequency_hz,damping_ratio
0,0.9999999999822012,0.0,0.9999999999822012,-1.0679257478424914e-09,0.0,0.0,0.03375153660560038
1,0.9999999999770768,-3.5857032982548156e-11,0.9999999999770768,-1.3753931326959198e-09,-2.151421979002207e-09,3.4240944263474907e-10,0.043352642804071986
2,0.9999999999770768,3.5857032982548156e-11,0.9999999999770768,-1.3753931326959198e-09,2.151421979002207e-09,3.4240944263474907e-10,0.043352642804071986
3,0.999369675265382,0.0006255274303394315,0.9993698710310418,-0.03781965501939342,0.037555312961681575,0.00597711369721475,0.7095822602050024
4,0.999369675265382,-0.0006255274303394315,0.9993698710310418,-0.03781965501939342,-0.037555312961681575,0.00597711369721475,0.7095822602050024
5,0.4812707583384659,0.8750911175076276,0.9987021611934314,-0.07792090372497597,64.07873230457824,10.198446993335946,0.0012160172854830914
6,0.4812707583384659,-0.8750911175076276,0.9987021611934314,-0.07792090372497597,-64.07873230457824,10.198446993335946,0.0012160172854830914
7,0.9985865540530015,0.0005929620279213414,0.9985867301038075,-0.08485617024081847,0.03562807585312682,0.00567038438487813,0.9220267722295297
8,0.9985865540530015,-0.0005929620279213414,0.9985867301038075,-0.08485617024081847,-0.03562807585312682,0.00567038438487813,0.9220267722295297
9,0.9984874344286505,0.0004968274256657067,0.9984875580343501,-0.09081521163220084,0.02985480042305284,0.0047515390623508675,0.9499836028381533
10,0.9984874344286505,-0.0004968274256657067,0.9984875580343501,-0.09081521163220084,-0.02985480042305284,0.0047515390623508675,0.9499836028381533
11,0.48072227339013857,-0.8747224154784227,0.9981148271986492,-0.11321711855893761,-64.09694194988694,10.201345148398776,0.0017663392121141058
12,0.48072227339013857,0.8747224154784227,0.9981148271986492,-0.11321711855893761,64.09694194988694,10.201345148398776,0.0017663392121141058
13,0.9973821250031996,-0.017515533711626598,0.9975359127355271,-0.14802768742911934,-1.0535821509495515,0.16768280727701257,0.13913288912474156
14,0.9973821250031996,0.017515533711626598,0.9975359127355271,-0.14802768742911934,1.0535821509495515,0.16768280727701257,0.13913288912474156
15,0.9942427180297971,0.0,0.9942427180297971,-0.34643514029053957,0.0,0.0,0.9999999999999958
16,0.48467635711738233,-0.865729220201325,0.9921684604234156,-0.47174202837941626,-63.62544541228822,10.126304143789225,0.007414157329331907
17,0.48467635711738233,0.865729220201325,0.9921684604234156,-0.47174202837941626,63.62544541228822,10.126304143789225,0.007414157329331907
18,0.9808506911175282,-0.09464343644074527,0.985406240251728,-0.8820777709825446,-5.771602544468583,0.9185790745139356,0.15107647222565176
19,0.9808506911175282,0.09464343644074527,0.985406240251728,-0.8820777709825446,5.771602544468583,0.9185790745139356,0.15107647222565176
20,0.9814319080756277,-0.08769606549344722,0.9853421690417996,-0.8859791036731343,-5.347112379538646,0.8510193664714423,0.16346430693118172
21,0.9814319080756277,0.08769606549344722,0.9853421690417996,-0.8859791036731343,5.347112379538646,0.8510193664714423,0.16346430693118172
22,0.9849275015975014,0.0,0.9849275015975014,-0.9112345774755276,0.0,0.0,0.9999999999999994
23,0.975724405519713,-0.1329249928743047,0.98473710667235,-0.9228342127603393,-8.12391508561292,1.2929612431341142,0.1128688805864101
