mode,mu_real,mu_imag,mu_abs,lambda_real,lambda_imag,frequency_hz
0,0.9983389338067477,0.0,0.9983389338067477,-0.09974683759875003,0.0,0.0
1,0.9983389154323155,0.0,0.9983389154323155,-0.09974794189900787,0.0,0.0
2,0.9983388811883855,8.874137462421578e-09,0.9983388811883855,-0.09974999995343803,5.33334179183213e-07,8.488277093686696e-08
3,0.9983388811883855,-8.874137462421578e-09,0.9983388811883855,-0.09974999995343803,-5.33334179183213e-07,8.488277093686696e-08
4,0.9983388469456216,0.0,0.9983388469456216,-0.09975205793786975,0.0,0.0
5,0.9983388285692982,0.0,0.9983388285692982,-0.09975316235188172,0.0,0.0
6,0.9979703971847087,0.0,0.9979703971847087,-0.12189991501040866,0.0,0.0
7,0.9960413540986818,-0.061335317629902984,0.9979280536509115,-0.12444574796813734,-3.69008570438057,0.5872953802849061
8,0.9960413540986818,0.061335317629902984,0.9979280536509115,-0.12444574796813734,3.69008570438057,0.5872953802849061
9,0.9969780831942734,0.0,0.9969780831942734,-0.1815895209546945,0.0,0.0
10,0.991888550712042,0.0,0.991888550712042,-0.4886715648792021,0.0,0.0
11,0.983512432746362,-3.408627017585994e-15,0.983512432746362,-0.9974999942787356,-2.0794614714128648e-13,3.3095657214450346e-14
12,0.983512432746362,3.408627017585994e-15,0.983512432746362,-0.9974999942787356,2.0794614714128648e-13,3.3095657214450346e-14
13,0.9835124327463327,0.0,0.9835124327463327,-0.9974999942805235,0.0,0.0
14,0.9710805305092843,-0.14743662058150914,0.9822092210026787,-1.0770562386003213,-9.04059860172455,1.4388559559741394
15,0.9710805305092843,0.14743662058150914,0.9822092210026787,-1.0770562386003213,9.04059860172455,1.4388559559741394
16,0.9811292903093847,-0.00022644470258423744,0.9811293164411102,-1.1430604238110114,-0.013848003568950362,0.0022039782199526586
17,0.9811292903093847,0.00022644470258423744,0.9811293164411102,-1.1430604238110114,0.013848003568950362,0.0022039782199526586
18,0.9701433647364789,0.14282719970594498,0.9806007123789268,-1.1753953975664972,8.770364172022921,1.3958468106935058
19,0.9701433647364789,-0.14282719970594498,0.9806007123789268,-1.1753953975664972,-8.770364172022921,1.3958468106935058
20,0.9765514214693869,-0.0029654986289333373,0.9765559241313312,-1.423395619770256,-0.18220174267914208,0.028998307987343017
21,0.9765514214693869,0.0029654986289333373,0.9765559241313312,-1.423395619770256,0.18220174267914208,0.028998307987343017
22,0.9704729343916509,0.04962067011577782,0.9717406687431994,-1.7199787094479155,3.0651548121755745,0.48783453969965274
23,0.9704729343916509,-0.04962067011577782,0.9717406687431994,-1.7199787094479155,-3.0651548121755745,0.48783453969965274
