mode,mu_real,mu_imag,mu_abs,lambda_real,lambda_imag,frequency_hz,damping_ratio
0,1.000000000025741,0.0,1.000000000025741,1.5444578948887685e-09,0.0,0.0,-0.04878190067694347
1,0.9999999999994204,-4.095588046568195e-12,0.9999999999994204,-3.477884646891451e-11,-2.4573528279423414e-10,3.910998494878714e-11,0.0010997698224926749
2,0.9999999999994204,4.095588046568195e-12,0.9999999999994204,-3.477884646891451e-11,2.4573528279423414e-10,3.910998494878714e-11,0.0010997698224926749
3,0.9990253342352754,0.0160047663337287,0.9991535272365809,-0.05080987342725741,0.9611406302410306,0.15297028230931964,0.05279042755567882
4,0.9990253342352754,-0.0160047663337287,0.9991535272365809,-0.05080987342725741,-0.9611406302410306,0.15297028230931964,0.05279042755567882
5,0.48127066028899534,0.8750911643960216,0.9987021550287105,-0.07792127408889878,64.07873882358255,10.198448030867706,0.001216022941585221
6,0.48127066028899534,-0.8750911643960216,0.9987021550287105,-0.07792127408889878,-64.07873882358255,10.198448030867706,0.001216022941585221
7,0.9983389434617099,0.0,0.9983389434617099,-0.09974625733716347,0.0,0.0,0.9999999999999498
8,0.998338881201462,-1.456228472489923e-07,0.9983388812014726,-0.09974999916691092,-8.75190879516221e-06,1.3929095462394998e-06,0.9999999961509334
9,0.998338881201462,1.456228472489923e-07,0.9983388812014726,-0.09974999916691092,8.75190879516221e-06,1.3929095462394998e-06,0.9999999961509334
10,0.9983388811893227,2.6258477881302556e-08,0.998338881189323,-0.09974999989709774,1.578130134530318e-06,2.511672117527779e-07,0.9999999998748
11,0.9983388811893227,-2.6258477881302556e-08,0.998338881189323,-0.09974999989709774,-1.578130134530318e-06,2.511672117527779e-07,0.9999999998748
12,0.9983388189144387,0.0,0.9983388189144387,-0.09975374260736307,0.0,0.0,0.9999999999999498
13,0.4807222503436112,0.8747224567803952,0.9981148522947426,-0.11321560994936218,64.09694435981008,10.201345531949956,0.0017663156094407037
14,0.4807222503436112,-0.8747224567803952,0.9981148522947426,-0.11321560994936218,-64.09694435981008,10.201345531949956,0.0017663156094407037
15,0.9976831365064249,0.0,0.9976831365064249,-0.13917309447276388,0.0,0.0,0.9999999999999742
16,0.48467630628422753,0.8657292009769505,0.9921684188168416,-0.47174454447883973,63.62544752668545,10.126304480305995,0.007414196625186734
17,0.48467630628422753,-0.8657292009769505,0.9921684188168416,-0.47174454447883973,-63.62544752668545,10.126304480305995,0.007414196625186734
18,0.9835124327463678,2.855883851496222e-15,0.9835124327463678,-0.9974999942783833,1.7422558717563517e-13,2.7728863412090267e-14,0.9999999999999996
19,0.9835124327463678,-2.855883851496222e-15,0.9835124327463678,-0.9974999942783833,-1.7422558717563517e-13,2.7728863412090267e-14,0.9999999999999996
20,0.9835124327459801,0.0,0.9835124327459801,-0.9974999943020346,0.0,0.0,0.9999999999999994
21,0.9817867179106052,0.0,0.9817867179106052,-1.1028711452538371,0.0,0.0,0.9999999999999996
22,0.9809286872179153,0.0003229384433817251,0.9809287403763338,-1.1553277100788073,0.019753021963127428,0.0031437910864345045,0.999853872647368
23,0.9809286872179153,-0.0003229384433817251,0.9809287403763338,-1.1553277100788073,-0.019753021963127428,0.0031437910864345045,0.999853872647368
