non_ml_mode,ml_mode,non_ml_real,non_ml_imag,ml_real,ml_imag,absolute_error
0,0,-1.2346190736550092e-09,0.0,-1.0679257478424914e-09,0.0,1.666933258125178e-10
1,1,-1.1336308569249834e-07,0.0,-1.3753931326959198e-09,-2.151421979002207e-09,1.1200835639094325e-07
2,14,-0.05080987392355631,0.961140630120842,-0.14802768742911934,1.0535821509495515,0.13415192147683597
3,13,-0.05080987392355631,-0.961140630120842,-0.14802768742911934,-1.0535821509495515,0.13415192147683597
4,5,-0.07792127387152042,64.07873882337502,-0.07792090372497597,64.07873230457824,6.529297047239708e-06
5,6,-0.07792127387152042,-64.07873882337502,-0.07792090372497597,-64.07873230457824,6.529297047239708e-06
6,7,-0.09842468026612416,0.0,-0.08485617024081847,0.03562807585312682,0.03812432626687296
7,8,-0.0997500010533859,-1.384753107760044e-05,-0.08485617024081847,-0.03562807585312682,0.03860310162731015
8,9,-0.0997500010533859,1.384753107760044e-05,-0.09081521163220084,0.02985480042305284,0.031149846412173623
9,10,-0.10109372407903257,0.0,-0.09081521163220084,-0.02985480042305284,0.031574624723343755
10,12,-0.11321561011301594,64.0969443597493,-0.11321711855893761,64.09694194988694,2.843034593287329e-06
11,11,-0.11321561011301594,-64.0969443597493,-0.11321711855893761,-64.09694194988694,2.843034593287329e-06
